R11,R12,R13,T1,R21,R22,R23,T2,R31,R32,R33,T3,R41,R42,R43,T4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.9487222186286475,-0.004007338881588407,47.04746370694181,47.04746370694181,-0.011875949295988553,0.971424405726922,28.54699818172266,28.54699818172266,-1.1382079446418405e-05,-1.569816203602604e-06,1.0,1.0,0.0,0.0,0.0,1.0
0.8849367888099586,-0.0077864532631853915,104.17003821005345,151.21750191699527,-0.026326046610162447,0.9384403050169812,60.280881716857074,88.82787989857974,-2.546404861506188e-05,-3.2778306131866913e-06,0.9992606388563707,1.9992606388563707,0.0,0.0,0.0,1.0
0.8341681556625783,-0.004826881172486308,146.79684148538635,298.01434340238166,-0.037982366949551746,0.9153469648552656,84.22721013358581,173.05509003216554,-3.681395751433842e-05,-1.9567061860735128e-06,0.9979399394810581,2.997200578337429,0.0,0.0,0.0,1.0
0.7978314184801585,0.009475402222912788,173.48640608164268,471.50074948402437,-0.047442390086304416,0.9140952048211065,94.60831227556388,267.6634023077294,-4.625733992215904e-05,7.716327463093182e-06,0.9967345667676215,3.99393514510505,0.0,0.0,0.0,1.0
0.7483168383609452,0.011573699837167004,213.80761617597045,685.3083656599948,-0.058609607767963014,0.891521102956953,116.16920632452948,383.83260863225894,-5.7211844531070204e-05,8.44105327731314e-06,0.9946133014807645,4.988548446585815,0.0,0.0,0.0,1.0
0.7193970008009041,0.01199145244960073,238.61766311398466,923.9260287739795,-0.06540469876930165,0.879660200599547,128.2889015240481,512.1215101563071,-6.357795521812859e-05,9.656464210161886e-06,0.992863430786089,5.9814118773719045,0.0,0.0,0.0,1.0
0.681030018109556,0.012448631902535558,271.10014927688616,1195.0261780508656,-0.07405752716667986,0.8606090198837506,146.37832237656323,658.4998325328703,-7.183260187204199e-05,1.076459849814181e-05,0.9902487634691833,6.971660640841088,0.0,0.0,0.0,1.0
0.6516732877566931,0.014262964809860905,294.62601552117667,1489.6521935720423,-0.08063000333965747,0.8477931260993785,158.33733338352587,816.8371659163962,-7.815713195919107e-05,1.1992890836742472e-05,0.9879707527262632,7.959631393567351,0.0,0.0,0.0,1.0
0.7103061122892381,0.11863546288297341,143.82710478923858,1633.4792983612808,-0.08385073425189929,0.9338008078821143,127.28568543241502,944.1228513488112,-8.02335141526515e-05,4.5708667046912244e-05,1.005254694656306,8.964886088223658,0.0,0.0,0.0,1.0
0.6926905282121398,0.12849080476195862,156.57786951723529,1790.057167878516,-0.08973795967065415,0.9379531243937956,131.691111988209,1075.8139633370201,-8.556786224331314e-05,5.43732914457828e-05,1.0041830292387115,9.96906911746237,0.0,0.0,0.0,1.0
0.6853633616619791,0.21893746084662838,116.71476535218189,1906.771933230698,-0.09792232263942158,0.9863950837253164,119.21263033824633,1195.0265936752664,-9.29385185225942e-05,8.272488208864878e-05,1.0078090373135395,10.976878154775909,0.0,0.0,0.0,1.0
0.67282051240541,0.29445079555887843,89.62809882031131,1996.4000320510095,-0.1062168755081234,1.0264371036648972,109.77146807602858,1304.798061751295,-0.00010061706356322902,0.00010800861630973385,1.0100117438105627,11.98688989858647,0.0,0.0,0.0,1.0
0.6738836252215665,0.4026625289077112,34.1254349381535,2030.525466989163,-0.11430588833813898,1.0892249095941713,91.80032069963127,1396.5983824509265,-0.0001081161427199601,0.0001453591181762916,1.014523565961605,13.001413464548076,0.0,0.0,0.0,1.0
0.7367197360809692,0.5492771558305665,-145.1823497031847,1885.3431172859785,-0.11842931421954947,1.2056654679911798,42.60152322597367,1439.1999056769002,-0.00011156103017464376,0.00019460973471727594,1.0288503178691646,14.03026378241724,0.0,0.0,0.0,1.0
